"Union Membership, Coverage, Density and Employment by State, 1991 (details in table note)",,,,,,,,,
,,,,,,,,,
State,,,,,,,,,
Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov,
63,Alabama,Total,"2,205","1,592,663","212,411","247,943",13.3,15.6,
63,Alabama,Private,"1,774","1,285,127","139,521","155,104",10.9,12.1,
63,Alabama,Public,431,"307,536","72,891","92,840",23.7,30.2,
63,Alabama,Priv. Construction,124,"90,415","10,946","12,360",12.1,13.7,
63,Alabama,Priv. Manufacturing,531,"388,421","92,923","102,331",23.9,26.3,
94,Alaska,Total,"2,543","201,910","43,512","48,689",21.6,24.1,
94,Alaska,Private,"1,776","142,351","17,150","18,936",12.0,13.3,
94,Alaska,Public,767,"59,559","26,362","29,753",44.3,50.0,
94,Alaska,Priv. Construction,127,"10,077","2,290","2,371",22.7,23.5,
94,Alaska,Priv. Manufacturing,100,"8,434","1,371","1,702",16.3,20.2,
86,Arizona,Total,"1,710","1,387,011","107,095","136,429",7.7,9.8,
86,Arizona,Private,"1,406","1,138,410","56,055","67,581",4.9,5.9,
86,Arizona,Public,304,"248,601","51,040","68,848",20.5,27.7,
86,Arizona,Priv. Construction,92,"76,747","7,717","9,476",10.1,12.3,
86,Arizona,Priv. Manufacturing,228,"184,371","9,488","11,080",5.1,6.0,
71,Arkansas,Total,"2,202","885,625","89,976","110,984",10.2,12.5,
71,Arkansas,Private,"1,824","731,663","63,203","73,365",8.6,10.0,
71,Arkansas,Public,378,"153,962","26,773","37,619",17.4,24.4,
71,Arkansas,Priv. Construction,76,"31,664","2,568","2,958",8.1,9.3,
71,Arkansas,Priv. Manufacturing,537,"217,041","35,959","41,032",16.6,18.9,
93,California,Total,"14,155","11,817,273","2,156,966","2,470,496",18.3,20.9,
93,California,Private,"11,908","9,892,075","1,235,580","1,374,346",12.5,13.9,
93,California,Public,"2,247","1,925,198","921,386","1,096,150",47.9,56.9,
93,California,Priv. Construction,637,"558,802","136,070","142,175",24.4,25.4,
93,California,Priv. Manufacturing,"2,693","2,185,091","313,637","341,782",14.4,15.6,
84,Colorado,Total,"2,112","1,455,967","143,494","172,086",9.9,11.8,
84,Colorado,Private,"1,721","1,189,020","89,774","96,148",7.6,8.1,
84,Colorado,Public,391,"266,947","53,721","75,938",20.1,28.4,
84,Colorado,Priv. Construction,82,"56,930","8,679","8,679",15.2,15.2,
84,Colorado,Priv. Manufacturing,297,"206,407","15,177","16,546",7.4,8.0,
16,Connecticut,Total,"1,902","1,513,920","287,166","305,089",19.0,20.2,
16,Connecticut,Private,"1,648","1,311,888","148,467","160,592",11.3,12.2,
16,Connecticut,Public,254,"202,032","138,699","144,497",68.7,71.5,
16,Connecticut,Priv. Construction,70,"55,115","12,203","12,203",22.1,22.1,
16,Connecticut,Priv. Manufacturing,463,"363,658","61,361","68,958",16.9,19.0,
51,Delaware,Total,"1,688","309,401","51,940","57,700",16.8,18.6,
51,Delaware,Private,"1,459","268,736","35,915","39,484",13.4,14.7,
51,Delaware,Public,229,"40,665","16,025","18,216",39.4,44.8,
51,Delaware,Priv. Construction,99,"17,756","4,094","4,293",23.1,24.2,
51,Delaware,Priv. Manufacturing,383,"71,814","20,127","21,458",28.0,29.9,
53,D.C.,Total,"1,577","239,447","35,948","45,412",15.0,19.0,
53,D.C.,Private,"1,048","158,308","17,230","21,589",10.9,13.6,
53,D.C.,Public,529,"81,139","18,719","23,824",23.1,29.4,
53,D.C.,Priv. Construction,29,"4,580",859,"1,084",18.8,23.7,
53,D.C.,Priv. Manufacturing,52,"8,061",541,752,6.7,9.3,
59,Florida,Total,"7,673","5,136,189","448,063","620,363",8.7,12.1,
59,Florida,Private,"6,339","4,243,792","177,540","238,645",4.2,5.6,
59,Florida,Public,"1,334","892,397","270,524","381,719",30.3,42.8,
59,Florida,Priv. Construction,440,"300,639","14,565","16,585",4.8,5.5,
59,Florida,Priv. Manufacturing,863,"583,925","38,821","46,851",6.6,8.0,
58,Georgia,Total,"1,977","2,686,854","182,183","236,844",6.8,8.8,
58,Georgia,Private,"1,606","2,185,132","130,436","150,942",6.0,6.9,
58,Georgia,Public,371,"501,721","51,747","85,901",10.3,17.1,
58,Georgia,Priv. Construction,78,"101,025","5,540","5,540",5.5,5.5,
58,Georgia,Priv. Manufacturing,406,"560,328","56,453","63,081",10.1,11.3,
95,Hawaii,Total,"1,873","480,206","139,130","149,533",29.0,31.1,
95,Hawaii,Private,"1,428","365,804","77,902","84,514",21.3,23.1,
95,Hawaii,Public,445,"114,402","61,228","65,019",53.5,56.8,
95,Hawaii,Priv. Construction,138,"35,805","18,479","19,414",51.6,54.2,
95,Hawaii,Priv. Manufacturing,75,"18,709","7,177","7,312",38.4,39.1,
82,Idaho,Total,"2,177","399,862","35,452","42,870",8.9,10.7,
82,Idaho,Private,"1,760","322,471","21,935","25,524",6.8,7.9,
82,Idaho,Public,417,"77,391","13,517","17,346",17.5,22.4,
82,Idaho,Priv. Construction,106,"19,612",909,"1,104",4.6,5.6,
82,Idaho,Priv. Manufacturing,367,"67,084","10,549","12,397",15.7,18.5,
33,Illinois,Total,"7,833","5,040,915","1,056,661","1,139,652",21.0,22.6,
33,Illinois,Private,"6,645","4,281,833","695,414","741,161",16.2,17.3,
