"Union Membership, Coverage, Density and Employment by State, 2006 (details in table note)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
State,,,,,,,,,,,,,,
Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov,,,,,,
63,Alabama,Total,"1,903","1,930,249","170,113","193,988",8.8,10.0,,,,,,
63,Alabama,Private,"1,572","1,598,093","74,085","84,733",4.6,5.3,,,,,,
63,Alabama,Public,331,"332,156","96,028","109,255",28.9,32.9,,,,,,
63,Alabama,Priv. Construction,127,"137,685","4,225","6,118",3.1,4.4,,,,,,
63,Alabama,Priv. Manufacturing,331,"333,373","29,133","30,921",8.7,9.3,,,,,,
94,Alaska,Total,"2,338","279,578","62,055","66,552",22.2,23.8,,,,,,
94,Alaska,Private,"1,700","204,482","25,076","26,502",12.3,13.0,,,,,,
94,Alaska,Public,638,"75,096","36,979","40,050",49.2,53.3,,,,,,
94,Alaska,Priv. Construction,167,"20,300","6,596","6,866",32.5,33.8,,,,,,
94,Alaska,Priv. Manufacturing,51,"6,467",345,345,5.3,5.3,,,,,,
86,Arizona,Total,"2,359","2,583,996","196,922","249,834",7.6,9.7,,,,,,
86,Arizona,Private,"1,983","2,171,559","95,383","128,385",4.4,5.9,,,,,,
86,Arizona,Public,376,"412,437","101,539","121,449",24.6,29.4,,,,,,
86,Arizona,Priv. Construction,223,"249,587","11,436","15,737",4.6,6.3,,,,,,
86,Arizona,Priv. Manufacturing,195,"214,396","8,108","10,977",3.8,5.1,,,,,,
71,Arkansas,Total,"1,741","1,130,108","58,127","67,488",5.1,6.0,,,,,,
71,Arkansas,Private,"1,414","922,486","36,735","37,926",4.0,4.1,,,,,,
71,Arkansas,Public,327,"207,621","21,392","29,561",10.3,14.2,,,,,,
71,Arkansas,Priv. Construction,95,"63,769",575,963,0.9,1.5,,,,,,
71,Arkansas,Priv. Manufacturing,312,"205,573","17,527","17,527",8.5,8.5,,,,,,
93,California,Total,"13,770","14,500,760","2,273,437","2,444,122",15.7,16.9,,,,,,
93,California,Private,"11,636","12,276,069","1,102,609","1,182,097",9.0,9.6,,,,,,
93,California,Public,"2,134","2,224,691","1,170,827","1,262,025",52.6,56.7,,,,,,
93,California,Priv. Construction,948,"1,007,227","175,828","181,604",17.5,18.0,,,,,,
93,California,Priv. Manufacturing,"1,544","1,627,990","103,109","111,730",6.3,6.9,,,,,,
84,Colorado,Total,"3,873","2,153,893","164,957","186,101",7.7,8.6,,,,,,
84,Colorado,Private,"3,294","1,836,606","92,589","103,537",5.0,5.6,,,,,,
84,Colorado,Public,579,"317,287","72,368","82,564",22.8,26.0,,,,,,
84,Colorado,Priv. Construction,287,"161,201","9,684","10,670",6.0,6.6,,,,,,
84,Colorado,Priv. Manufacturing,359,"201,353","17,684","17,684",8.8,8.8,,,,,,
16,Connecticut,Total,"4,078","1,590,721","247,492","262,781",15.6,16.5,,,,,,
16,Connecticut,Private,"3,478","1,355,656","108,696","119,181",8.0,8.8,,,,,,
16,Connecticut,Public,600,"235,065","138,797","143,600",59.0,61.1,,,,,,
