"Union Membership, Coverage, Density and Employment by State, 2009 (details in table note)",,,,,,,,,,
,,,,,,,,,,
State,,,,,,,,,,
Code,State,Sector,Obs,Employment,Members,Covered,%Mem,%Cov,,
63,Alabama,Total,"1,721","1,763,128","191,324","211,584",10.9,12.0,,
63,Alabama,Private,"1,409","1,444,231","86,325","99,748",6.0,6.9,,
63,Alabama,Public,312,"318,897","104,999","111,836",32.9,35.1,,
63,Alabama,Priv. Construction,111,"112,008","7,173","10,146",6.4,9.1,,
63,Alabama,Priv. Manufacturing,257,"255,084","34,937","34,937",13.7,13.7,,
94,Alaska,Total,"2,366","292,917","65,198","69,165",22.3,23.6,,
94,Alaska,Private,"1,689","211,445","21,725","23,025",10.3,10.9,,
94,Alaska,Public,677,"81,472","43,473","46,140",53.4,56.6,,
94,Alaska,Priv. Construction,129,"17,355","2,896","2,896",16.7,16.7,,
94,Alaska,Priv. Manufacturing,60,"7,336",508,508,6.9,6.9,,
86,Arizona,Total,"1,828","2,470,634","161,722","194,254",6.5,7.9,,
86,Arizona,Private,"1,543","2,098,795","76,157","88,503",3.6,4.2,,
86,Arizona,Public,285,"371,840","85,565","105,752",23.0,28.4,,
86,Arizona,Priv. Construction,106,"150,602","5,276","5,276",3.5,3.5,,
86,Arizona,Priv. Manufacturing,169,"232,958","7,876","13,471",3.4,5.8,,
71,Arkansas,Total,"1,689","1,102,710","46,510","54,629",4.2,5.0,,
71,Arkansas,Private,"1,414","924,845","26,318","29,266",2.8,3.2,,
71,Arkansas,Public,275,"177,865","20,192","25,363",11.4,14.3,,
71,Arkansas,Priv. Construction,90,"57,114","3,085","3,085",5.4,5.4,,
71,Arkansas,Priv. Manufacturing,243,"163,163","11,643","12,941",7.1,7.9,,
93,California,Total,"13,494","14,297,101","2,453,378","2,622,281",17.2,18.3,,
93,California,Private,"11,233","11,931,167","1,133,354","1,226,092",9.5,10.3,,
93,California,Public,"2,261","2,365,935","1,320,024","1,396,189",55.8,59.0,,
93,California,Priv. Construction,666,"734,894","129,251","132,541",17.6,18.0,,
93,California,Priv. Manufacturing,"1,480","1,566,550","126,241","139,025",8.1,8.9,,
84,Colorado,Total,"3,788","2,175,485","153,224","180,651",7.0,8.3,,
84,Colorado,Private,"3,197","1,843,410","83,789","96,768",4.5,5.2,,
84,Colorado,Public,591,"332,074","69,435","83,883",20.9,25.3,,
84,Colorado,Priv. Construction,211,"125,145","7,457","8,032",6.0,6.4,,
84,Colorado,Priv. Manufacturing,314,"179,135","13,186","14,832",7.4,8.3,,
16,Connecticut,Total,"4,068","1,538,095","265,453","282,362",17.3,18.4,,
16,Connecticut,Private,"3,421","1,297,024","110,721","122,561",8.5,9.4,,
16,Connecticut,Public,647,"241,072","154,733","159,801",64.2,66.3,,
16,Connecticut,Priv. Construction,185,"70,953","12,088","12,473",17.0,17.6,,
16,Connecticut,Priv. Manufacturing,473,"177,270","18,066","19,476",10.2,11.0,,
51,Delaware,Total,"2,612","367,382","43,727","47,061",11.9,12.8,,
51,Delaware,Private,"2,203","310,563","18,093","20,156",5.8,6.5,,
51,Delaware,Public,409,"56,820","25,634","26,905",45.1,47.4,,
51,Delaware,Priv. Construction,141,"19,756","1,937","2,211",9.8,11.2,,
51,Delaware,Priv. Manufacturing,251,"34,834","3,694","4,101",10.6,11.8,,
53,D.C.,Total,"2,469","276,062","28,592","34,582",10.4,12.5,,
53,D.C.,Private,"1,762","197,868","12,820","15,446",6.5,7.8,,
53,D.C.,Public,707,"78,193","15,772","19,136",20.2,24.5,,
53,D.C.,Priv. Construction,78,"8,870","1,067","1,355",12.0,15.3,,
53,D.C.,Priv. Manufacturing,20,"2,232",0,0,0.0,0.0,,
59,Florida,Total,"6,113","7,097,026","410,944","489,244",5.8,6.9,,
59,Florida,Private,"5,113","5,933,726","118,498","151,655",2.0,2.6,,
59,Florida,Public,"1,000","1,163,300","292,446","337,590",25.1,29.0,,
59,Florida,Priv. Construction,339,"401,568","4,672","7,103",1.2,1.8,,
59,Florida,Priv. Manufacturing,359,"421,486","10,613","15,326",2.5,3.6,,
58,Georgia,Total,"3,417","3,869,370","176,670","226,485",4.6,5.9,,
58,Georgia,Private,"2,808","3,187,687","87,892","107,067",2.8,3.4,,
58,Georgia,Public,609,"681,683","88,778","119,418",13.0,17.5,,
58,Georgia,Priv. Construction,197,"229,582","8,326","8,326",3.6,3.6,,
58,Georgia,Priv. Manufacturing,340,"383,218","12,440","16,207",3.2,4.2,,
95,Hawaii,Total,"2,575","525,857","123,487","127,798",23.5,24.3,,
95,Hawaii,Private,"2,024","412,841","60,832","63,986",14.7,15.5,,
95,Hawaii,Public,551,"113,017","62,655","63,812",55.4,56.5,,
95,Hawaii,Priv. Construction,172,"35,944","12,055","12,055",33.5,33.5,,
95,Hawaii,Priv. Manufacturing,61,"12,459","1,944","1,944",15.6,15.6,,
82,Idaho,Total,"1,732","577,202","36,325","45,571",6.3,7.9,,
82,Idaho,Private,"1,376","459,033","14,643","18,840",3.2,4.1,,
82,Idaho,Public,356,"118,169","21,681","26,731",18.3,22.6,,
