"State","year","X","UR","rpci","rtw","dem_leg","rep_leg","bi_leg","UD","Ag","Cl","Man","Pro","Prof","Sale","Serv","fr","stid"
"Alaska",1979,150,30.7,13745,0,0,0,1,34,NA,NA,NA,NA,NA,NA,NA,1.10749185667752,2
"Alaska",1980,149,29.7,15507,0,0,0,1,33.9,NA,NA,NA,NA,NA,NA,NA,1.14141414141414,2
"Alaska",1981,148,33.7,17091,0,0,0,1,35.9,NA,NA,NA,NA,NA,NA,NA,1.06528189910979,2
"Alaska",1982,147,29.3,19424,0,0,0,1,32.6,NA,NA,NA,NA,NA,NA,NA,1.11262798634812,2
"Alaska",1983,146,24.9,19478,0,0,0,1,29.3,NA,NA,NA,NA,NA,NA,NA,1.17670682730924,2
"Alaska",1984,145,24.2,19701,0,0,0,1,28,NA,NA,NA,NA,NA,NA,NA,1.15702479338843,2
"Alaska",1985,144,25,20593,0,0,0,1,28,NA,NA,NA,NA,NA,NA,NA,1.12,2
"Alaska",1986,143,23.3,20331,0,0,0,1,26.8,NA,NA,NA,NA,NA,NA,NA,1.15021459227468,2
"Alaska",1987,142,22.3,19688,0,0,0,1,25.7,NA,NA,NA,NA,NA,NA,NA,1.152466367713,2
"Alaska",1988,141,24.3,20420,0,0,0,1,26.9,NA,NA,NA,NA,NA,NA,NA,1.10699588477366,2
"Alaska",1989,140,22.9,22133,0,0,0,1,25,NA,NA,NA,NA,NA,NA,NA,1.09170305676856,2
"Alaska",1990,139,23.2,23213,0,0,0,1,26,NA,NA,NA,NA,NA,NA,NA,1.12068965517241,2
"Alaska",1991,138,21.6,23510,0,0,0,1,24.2,NA,NA,NA,NA,NA,NA,NA,1.12037037037037,2
"Alaska",1992,137,20.9,24240,0,0,0,1,22.4,NA,NA,NA,NA,NA,NA,NA,1.07177033492823,2
"Alaska",1993,136,20.4,25036,0,0,0,1,22.5,NA,NA,NA,NA,NA,NA,NA,1.10294117647059,2
"Alaska",1994,135,19.4,25713,0,0,1,0,22.4,NA,NA,NA,NA,NA,NA,NA,1.15463917525773,2
"Alaska",1995,134,23.2,26399,0,0,1,0,25.8,NA,NA,NA,NA,NA,NA,NA,1.11206896551724,2
"Alaska",1996,133,22.4,26953,0,0,1,0,24.8,NA,NA,NA,NA,NA,NA,NA,1.10714285714286,2
"Alaska",1997,132,20,28185,0,0,1,0,22.4,"0.0110",0.191,0.0679,0.223,0.2284,0.1082,0.1706,1.12,2
"Alaska",1998,131,20.4,29255,0,0,1,0,23,"0.0056",0.1866,0.072,0.1314,0.2335,0.2722,0.0987,1.12745098039216,2
"Alaska",1999,130,20.4,29951,0,0,1,0,23.5,NA,NA,NA,NA,NA,NA,NA,1.15196078431373,2
"Alaska",2000,129,21.9,32044,0,0,1,0,24.7,NA,NA,NA,NA,NA,NA,NA,1.12785388127854,2
"Alaska",2001,128,22.1,33626,0,0,1,0,24.9,NA,NA,NA,NA,NA,NA,NA,1.12669683257919,2
"Alaska",2002,127,24.5,34756,0,0,1,0,26.9,NA,NA,NA,NA,NA,NA,NA,1.09795918367347,2
"Alaska",2003,126,22.5,35996,0,0,1,0,24.7,NA,NA,NA,NA,NA,NA,NA,1.09777777777778,2
"Alaska",2004,125,20.3,37016,0,0,1,0,22.4,NA,NA,NA,NA,NA,NA,NA,1.10344827586207,2
"Alaska",2005,124,22.9,39075,0,0,1,0,24.1,NA,NA,NA,NA,NA,NA,NA,1.05240174672489,2
"Alaska",2006,123,22.4,41157,0,0,1,0,23.9,NA,NA,NA,NA,NA,NA,NA,1.06696428571429,2
"Alaska",2007,122,23.9,43906,0,0,1,0,24.8,NA,NA,NA,NA,NA,NA,NA,1.03765690376569,2
"Alaska",2008,121,23.7,47869,0,0,0,1,24.9,NA,NA,NA,NA,NA,NA,NA,1.05063291139241,2
