state,div,emp,emp_perc,pop
Alabama,"Agricultural, Forestry, Fishing, and Related Occupations",22990,a,1802620
Alabama,Clerical and Administrative Support Occupations,283080,15.704%,1802620
Alabama,Managerial and Administrative Occupations,112340,6.232%,1802620
Alabama,"Production, Construction, Operating, Maintenance, and Material Handling Occupations",577810,32.054%,1802620
Alabama,"Professional, Paraprofessional, and Technical Occupations",337160,18.704%,1802620
Alabama,Sales and Related Occupations,211080,11.710%,1802620
Alabama,Service Occupations,258160,14.321%,1802620
Alaska,"Agricultural, Forestry, Fishing, and Related Occupations",2710,1.098%,246760
Alaska,Clerical and Administrative Support Occupations,47120,19.095%,246760
Alaska,Managerial and Administrative Occupations,16750,6.788%,246760
Alaska,"Production, Construction, Operating, Maintenance, and Material Handling Occupations",55030,22.301%,246760
Alaska,"Professional, Paraprofessional, and Technical Occupations",56350,22.836%,246760
Alaska,Sales and Related Occupations,26710,10.824%,246760
Alaska,Service Occupations,42090,17.057%,246760
Arizona,"Agricultural, Forestry, Fishing, and Related Occupations",40860,2.121%,1926340
Arizona,Clerical and Administrative Support Occupations,359440,18.659%,1926340
Arizona,Managerial and Administrative Occupations,120200,6.240%,1926340
Arizona,"Production, Construction, Operating, Maintenance, and Material Handling Occupations",462460,24.007%,1926340
Arizona,"Professional, Paraprofessional, and Technical Occupations",390500,20.272%,1926340
Arizona,Sales and Related Occupations,235780,12.240%,1926340
Arizona,Service Occupations,317100,16.461%,1926340
Arkansas,"Agricultural, Forestry, Fishing, and Related Occupations",14820,1.378%,1075850
Arkansas,Clerical and Administrative Support Occupations,152090,14.137%,1075850
Arkansas,Managerial and Administrative Occupations,57060,5.304%,1075850
Arkansas,"Production, Construction, Operating, Maintenance, and Material Handling Occupations",379810,35.303%,1075850
Arkansas,"Professional, Paraprofessional, and Technical Occupations",186820,17.365%,1075850
Arkansas,Sales and Related Occupations,125340,11.650%,1075850
Arkansas,Service Occupations,159910,14.864%,1075850
California,"Agricultural, Forestry, Fishing, and Related Occupations",316070,2.401%,13166130
California,Clerical and Administrative Support Occupations,2398560,18.218%,13166130
California,Managerial and Administrative Occupations,917590,6.969%,13166130
California,"Production, Construction, Operating, Maintenance, and Material Handling Occupations",3071130,23.326%,13166130
California,"Professional, Paraprofessional, and Technical Occupations",2877460,21.855%,13166130
California,Sales and Related Occupations,1529870,11.620%,13166130
California,Service Occupations,2055450,15.612%,13166130
California Total,,13166130,#VALUE!,
Colorado,"Agricultural, Forestry, Fishing, and Related Occupations",21780,1.136%,1917740
Colorado,Clerical and Administrative Support Occupations,344140,17.945%,1917740
Colorado,Managerial and Administrative Occupations,127400,6.643%,1917740
Colorado,"Production, Construction, Operating, Maintenance, and Material Handling Occupations",431320,22.491%,1917740
Colorado,"Professional, Paraprofessional, and Technical Occupations",432680,22.562%,1917740
Colorado,Sales and Related Occupations,248940,12.981%,1917740
Colorado,Service Occupations,311480,16.242%,1917740
Colorado Total,,1917740,#VALUE!,
Connecticut,"Agricultural, Forestry, Fishing, and Related Occupations",14510,0.912%,1590760
Connecticut,Clerical and Administrative Support Occupations,288620,18.144%,1590760
Connecticut,Managerial and Administrative Occupations,127470,8.013%,1590760
Connecticut,"Production, Construction, Operating, Maintenance, and Material Handling Occupations",351120,22.072%,1590760
Connecticut,"Professional, Paraprofessional, and Technical Occupations",364520,22.915%,1590760
Connecticut,Sales and Related Occupations,193900,12.189%,1590760
Connecticut,Service Occupations,250620,15.755%,1590760
Connecticut Total,,1590760,#VALUE!,
