State,year,Ag,Cl,Man,Pro,Prof,Sale,Serv
Alabama,1997.0000,0.0128,0.1570,0.0623,0.3205,0.1870,0.1171,0.1432
Alaska,1997.0000,0.0110,0.1910,0.0679,0.2230,0.2284,0.1082,0.1706
Arizona,1997.0000,0.0212,0.1866,0.0624,0.2401,0.2027,0.1224,0.1646
Arkansas,1997.0000,0.0138,0.1414,0.0530,0.3530,0.1736,0.1165,0.1486
California,1997.0000,0.0240,0.1822,0.0697,0.2333,0.2186,0.1162,0.1561
California Total,1997.0000,,,,,,,
Colorado,1997.0000,0.0114,0.1795,0.066,0.2249,0.2256,0.1298,0.1624
Colorado Total,1997.0000,,,,,,,
Connecticut,1997.0000,0.0091,0.1814,0.0801,0.2207,0.2291,0.1219,0.1575
Connecticut Total,1997.0000,,,,,,,
Delaware,1997.0000,0.0099,0.2055,0.0880,0.2180,0.1968,0.1287,0.1532
Delaware Total,1997.0000,,,,,,,
District of Columbia,1997.0000,0.0034,0.2061,0.1319,0.0784,0.3339,0.0630,0.1834
District of Columbia Total,1997.0000,,,,,,,
Florida,1997.0000,0.0166,0.1950,0.0697,0.2088,0.1993,0.1340,0.1766
Florida Total,1997.0000,,,,,,,
Georgia,1997.0000,0.0123,0.1736,0.0654,0.2814,0.1880,0.1280,0.1513
Georgia Total,1997.0000,,,,,,,
Guam,1997.0000,0.0156,0.1935,0.0840,0.2307,0.1290,0.1363,0.2109
Guam Total,1997.0000,,,,,,,
Hawaii,1997.0000,0.0177,0.1809,0.0576,0.1629,0.1972,0.1256,0.2580
Hawaii Total,1997.0000,,,,,,,
Idaho,1997.0000,0.0292,0.1585,0.0773,0.2664,0.1766,0.1220,0.1700
Idaho Total,1997.0000,,,,,,,
Illinois,1997.0000,#VALUE!,43.7132,17.8255,58.4935,47.2921,27.3340,34.0212
Illinois Total,1997.0000,,,,,,,
Indiana,1997.0000,0.0088,0.1508,0.0590,0.3330,0.1752,0.1166,0.1566
Indiana Total,1997.0000,,,,,,,
Iowa,1997.0000,0.0096,0.1676,0.0653,0.2792,0.1854,0.1249,0.1681
Iowa Total,1997.0000,,,,,,,
Kansas,1997.0000,0.0092,0.1716,0.0762,0.2577,0.2036,0.1185,0.1633
Kansas Total,1997.0000,,,,,,,
Kentucky,1997.0000,0.0106,0.1589,0.0632,0.3085,0.1832,0.1161,0.1596
Kentucky Total,1997.0000,,,,,,,
Louisiana,1997.0000,0.0103,0.1647,0.0652,0.2724,0.1996,0.1152,0.1726
Louisiana Total,1997.0000,,,,,,,
Maine,1997.0000,0.0156,0.1609,0.0706,0.2426,0.2112,0.1232,0.1760
Maine Total,1997.0000,,,,,,,
Maryland,1997.0000,0.0107,0.1807,0.0800,0.1978,0.2485,0.1208,0.1617
Maryland Total,1997.0000,,,,,,,
Massachusetts,1997.0000,0.0088,0.1774,0.0884,0.1859,0.2562,0.1164,0.1668
Massachusetts Total,1997.0000,,,,,,,
Michigan,1997.0000,0.0089,0.1661,0.0717,0.2676,0.1920,0.1318,0.1620
Michigan Total,1997.0000,,,,,,,
Minnesota,1997.0000,0.0083,0.1660,0.0670,0.2430,0.2204,0.1292,0.1659
Minnesota Total,1997.0000,,,,,,,
Mississippi,1997.0000,0.0142,0.1464,0.0552,0.3308,0.1744,0.1176,0.1614
Mississippi Total,1997.0000,,,,,,,
Missouri,1997.0000,0.0093,0.1707,0.0586,0.2662,0.1966,0.1276,0.1709
Missouri Total,1997.0000,,,,,,,
Montana,1997.0000,0.0159,0.1622,0.0485,0.2185,0.2137,0.1305,0.2108
Montana Total,1997.0000,,,,,,,
Nebraska,1997.0000,0.0108,0.1685,0.0776,0.2401,0.2014,0.1376,0.1641
Nebraska Total,1997.0000,,,,,,,
Nevada,1997.0000,0.0150,0.1711,0.0518,0.2354,0.1116,0.1249,0.2903
Nevada Total,1997.0000,,,,,,,
New Hampshire,1997.0000,0.0100,0.1645,0.0762,0.2358,0.2131,0.1371,0.1633
New Hampshire Total,1997.0000,,,,,,,
New Jersey,1997.0000,0.0079,0.2049,0.0585,0.2307,0.2166,0.1249,0.1564
New Jersey Total,1997.0000,,,,,,,
New Mexico,1997.0000,0.0213,0.1643,0.0754,0.2166,0.2211,0.1162,0.1852
New Mexico Total,1997.0000,,,,,,,
New York,1997.0000,0.0080,0.2155,0.0318,0.2007,0.2330,0.1155,0.1954
New York Total,1997.0000,,,,,,,
North Carolina,1997.0000,0.0113,0.1553,0.0669,0.3239,0.1817,0.1165,0.1444
North Carolina Total,1997.0000,,,,,,,
North Dakota,1997.0000,0.0113,0.1832,0.0615,0.2290,0.1649,0.1362,0.2138
North Dakota Total,1997.0000,,,,,,,
Ohio,1997.0000,0.0094,0.1686,0.0673,0.2893,0.1865,0.1157,0.1632
Ohio Total,1997.0000,,,,,,,
Oklahoma,1997.0000,0.0086,0.1783,0.0684,0.2583,0.2049,0.1205,0.1610
Oklahoma Total,1997.0000,,,,,,,
Oregon,1997.0000,0.0181,0.1735,0.0585,0.2706,0.1912,0.1217,0.1664
Oregon Total,1997.0000,,,,,,,
Pennsylvania,1997.0000,0.0095,0.1763,0.0676,0.2612,0.2102,0.1168,0.1584
Pennsylvania Total,1997.0000,,,,,,,
Puerto Rico,1997.0000,0.0112,0.1953,0.0456,0.2974,0.1762,0.1229,0.1513
Puerto Rico Total,1997.0000,,,,,,,
Rhode Island,1997.0000,0.0094,0.1675,0.0661,0.2407,0.2138,0.1181,0.1844
Rhode Island Total,1997.0000,,,,,,,
South Carolina,1997.0000,0.0133,0.1490,0.0632,0.3150,0.1797,0.1188,0.1610
South Carolina Total,1997.0000,,,,,,,
