Year,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
1964,3835,1914,1799,2427,3383,2779,3336,3302,2449,2148,3125,2571,2316,3142,2639,2558,1990,2036,2980,2974,2309,2904,2566,2616,1590,2447,2055,2220,2491,2635,3163,2260,3388,3351,2781,2256,2773,2684,2849,1845,2062,2016,2354,2492,2559,2340,2968,2619,2019,2673
1965,4016,2048,1902,2528,3531,2942,3514,3561,2599,2331,3412,2851,2615,3373,2877,2731,2150,2174,3148,3144,2482,3156,2808,2828,1722,2629,2194,2584,2761,2787,3344,2383,3480,3531,2970,2424,2933,2854,3049,2024,2350,2182,2507,2599,2729,2530,3190,2788,2171,2818
1966,4276,2184,2109,2701,3784,3127,3797,3687,2781,2545,3674,3082,2638,3608,3058,2933,2345,2369,3369,3377,2632,3379,3023,2993,1879,2814,2421,2623,2995,3031,3577,2517,3656,3768,3200,2585,3107,3066,3307,2251,2574,2387,2713,2727,2923,2808,3498,3016,2318,2967
1967,4545,2311,2238,2879,4001,3294,4118,3868,3007,2750,3915,3105,2808,3801,3170,3075,2518,2576,3622,3615,2750,3475,3211,3174,2048,2895,2588,2714,3097,3235,3810,2620,3857,4044,3325,2784,3278,3279,3546,2416,2662,2532,2934,2849,3161,2969,3689,3161,2465,3184
1968,4790,2536,2419,3233,4334,3539,4328,4148,3355,2986,4338,3335,2971,4055,3419,3321,2733,2805,3938,3932,2958,3813,3493,3492,2250,3040,2825,2864,3282,3513,4135,2854,4340,4435,3633,3032,3524,3546,3820,2656,2861,2809,3203,3024,3459,3215,3986,3428,2622,3375
1969,5322,2831,2681,3643,4676,3896,4898,4521,3765,3292,4903,3698,3382,4392,3741,3665,3037,2975,4255,4456,3262,4107,3829,3645,2496,3387,3152,3205,3649,3842,4581,3109,4747,4619,3957,3335,3798,3862,4015,2959,3108,3032,3493,3254,3868,3468,4258,3752,2832,3704
1970,5911,3081,2915,4020,4965,4290,5158,4724,4131,3542,5538,3923,3691,4632,3849,3956,3261,3195,4552,4867,3569,4200,4117,3945,2736,3735,3397,3397,3897,3997,4909,3420,5191,4920,4137,3634,4065,4135,4306,3225,3386,3264,3782,3558,4157,3728,4400,3988,3156,4038
1971,6269,3345,3176,4354,5209,4671,5394,5032,4433,3823,5791,4082,3918,4936,4151,4298,3476,3427,4834,5252,3764,4530,4353,4222,2974,3920,3626,3868,4234,4225,5229,3677,5501,5234,4376,3882,4364,4362,4499,3449,3684,3538,4007,3855,4505,3967,4595,4251,3418,4404
1972,6636,3672,3504,4711,5652,5064,5800,5446,4860,4203,6170,4559,4329,5332,4503,4772,3801,3698,5203,5679,4047,5001,4714,4562,3327,4492,4025,4576,4645,4557,5642,4039,5847,5603,4743,4197,4788,4753,4836,3792,4215,3906,4352,4179,4922,4294,4955,4609,3729,4856
1973,7525,4088,4069,5145,6123,5579,6319,5979,5371,4656,6643,5466,4885,5947,5136,5417,4227,4098,5632,6221,4498,5554,5500,5045,3736,5149,4491,6383,5382,5005,6143,4421,6381,6022,5252,4696,5291,5219,5158,4213,5310,4384,4835,4520,5424,4661,5532,5125,4062,5571
1974,8827,4477,4453,5546,6731,6142,6879,6426,5757,5019,7412,5657,5566,6494,5472,5848,4698,4620,6090,6751,4933,5918,5903,5386,4056,5521,4881,6304,5570,5406,6673,4858,6746,6533,5752,5153,5889,5743,5547,4655,5313,4778,5342,4930,5924,4996,6152,5605,4481,6317
1975,11205,4918,4769,5825,7320,6670,7367,6844,6107,5354,7907,6293,5850,7064,5907,6358,5039,5113,6560,7265,5266,6340,6340,5883,4360,5978,5229,6549,6336,5786,7203,5391,7331,7066,6143,5677,6418,6259,6068,4963,5829,5138,5947,5341,6404,5401,6831,6099,4991,6853
1976,12447,5438,5247,6309,7975,7211,7951,7430,6557,5881,8367,6640,6343,7644,6540,6850,5536,5672,7078,7887,5915,7070,6801,6409,4887,6337,5745,6357,6597,6418,7817,5846,7994,7510,6752,6145,7091,6838,6600,5472,5726,5664,6528,5866,6969,5928,7424,6676,5455,7309
1977,12789,5920,5736,6858,8681,7854,8752,7971,7182,6396,8828,7300,6726,8369,7197,7413,6135,6234,7712,8505,6340,7913,7612,7070,5375,6739,6211,6564,7123,7050,8554,6382,8815,8158,7464,6733,7712,7505,7187,5886,6477,6174,7124,6412,7613,6339,8062,7416,6012,8203
1978,13018,6609,6546,7768,9661,8824,9720,8696,8064,7154,9640,8406,7497,9213,7968,8151,6769,7029,8522,9407,6939,8778,8487,7828,5917,7768,6922,8235,8208,7932,9475,7148,10045,8949,8231,7517,8592,8283,7868,6537,7460,6943,8023,7119,8514,7171,9101,8249,6641,9361
