"","UR","State","year","rpci","rtw","dem_leg","rep_leg","bi_leg"
"1",9.3,"Alabama",2018,41607,1,0,1,0
"2",7.4,"Alabama",2017,40252,1,0,1,0
"3",8.2,"Alabama",2016,39014,1,0,1,0
"4",10.3,"Alabama",2015,38531,1,0,1,0
"5",10.8,"Alabama",2014,37055,1,0,1,0
"6",10.8,"Alabama",2013,36014,1,0,1,0
"7",9.3,"Alabama",2012,35824,1,0,1,0
"8",10,"Alabama",2011,35010,1,1,0,0
"9",10.2,"Alabama",2010,33946,1,1,0,0
"10",10.9,"Alabama",2009,32769,1,1,0,0
"11",9.8,"Alabama",2008,33583,1,1,0,0
"12",9.6,"Alabama",2007,32739,1,1,0,0
"13",8.8,"Alabama",2006,31474,1,1,0,0
"14",10.2,"Alabama",2005,29949,1,1,0,0
"15",9.8,"Alabama",2004,28434,1,1,0,0
"16",8.1,"Alabama",2003,26673,1,1,0,0
"17",9.1,"Alabama",2002,25648,1,1,0,0
"18",10,"Alabama",2001,25057,1,1,0,0
"19",9.8,"Alabama",2000,24306,1,1,0,0
"20",11,"Alabama",1999,23333,1,1,0,0
"21",9.8,"Alabama",1998,22668,1,1,0,0
"22",10.3,"Alabama",1997,21516,1,1,0,0
"23",11.6,"Alabama",1996,20630,1,1,0,0
"24",13.8,"Alabama",1995,19892,1,1,0,0
"25",14.2,"Alabama",1994,18977,1,1,0,0
"26",14.9,"Alabama",1993,18129,1,1,0,0
"27",14,"Alabama",1992,17583,1,1,0,0
"28",13.5,"Alabama",1991,16572,1,1,0,0
"29",12.5,"Alabama",1990,15861,1,1,0,0
"30",14,"Alabama",1989,14986,1,1,0,0
"31",14.4,"Alabama",1988,13807,1,1,0,0
"32",14.1,"Alabama",1987,12864,1,1,0,0
"33",15.9,"Alabama",1986,12223,1,1,0,0
"34",15.9,"Alabama",1985,11604,1,1,0,0
"35",15.2,"Alabama",1984,10848,1,1,0,0
"36",17.1,"Alabama",1983,9906,1,1,0,0
"37",17.7,"Alabama",1982,9272,1,1,0,0
"38",18.4,"Alabama",1981,8796,1,1,0,0
"39",19.5,"Alabama",1980,7957,1,1,0,0
"40",24,"Alabama",1979,7275,1,1,0,0
"41",21.6,"Alabama",1978,6609,1,1,0,0
"42",18.7,"Alabama",1977,5920,1,0,0,0
"43",19.9,"Alabama",1976,5438,1,0,0,0
"44",20.7,"Alabama",1975,4918,1,0,0,0
"45",23.1,"Alabama",1974,4477,1,0,0,0
"46",23.3,"Alabama",1973,4088,1,0,0,0
"47",21.4,"Alabama",1972,3672,1,0,0,0
"48",22.1,"Alabama",1971,3345,1,0,0,0
"49",22.8,"Alabama",1970,3081,1,0,0,0
"50",22.6,"Alabama",1969,2831,1,0,0,0
"51",22.4,"Alabama",1968,2536,1,0,0,0
"52",22,"Alabama",1967,2311,1,0,0,0
"53",21.5,"Alabama",1966,2184,1,0,0,0
"54",21.3,"Alabama",1965,2048,1,0,0,0
"55",21.1,"Alabama",1964,1914,1,0,0,0
"56",18.4,"Alaska",2018,59783,0,0,1,0
"57",18,"Alaska",2017,57278,0,0,1,0
"58",18.5,"Alaska",2016,56278,0,0,1,0
"59",19.7,"Alaska",2015,57575,0,0,1,0
"60",22.7,"Alaska",2014,55867,0,0,1,0
"61",23,"Alaska",2013,52812,0,0,0,1
"62",22.5,"Alaska",2012,53708,0,0,0,1
"63",22.2,"Alaska",2011,52569,0,0,0,1
"64",23.2,"Alaska",2010,49652,0,0,0,1
"65",22.4,"Alaska",2009,47258,0,0,0,1
"66",23.7,"Alaska",2008,47869,0,0,0,1
"67",23.9,"Alaska",2007,43906,0,0,1,0
"68",22.4,"Alaska",2006,41157,0,0,1,0
"69",22.9,"Alaska",2005,39075,0,0,1,0
"70",20.3,"Alaska",2004,37016,0,0,1,0
"71",22.5,"Alaska",2003,35996,0,0,1,0
"72",24.5,"Alaska",2002,34756,0,0,1,0
"73",22.1,"Alaska",2001,33626,0,0,1,0
"74",21.9,"Alaska",2000,32044,0,0,1,0
"75",20.4,"Alaska",1999,29951,0,0,1,0
"76",20.4,"Alaska",1998,29255,0,0,1,0
"77",20,"Alaska",1997,28185,0,0,1,0
"78",22.4,"Alaska",1996,26953,0,0,1,0
"79",23.2,"Alaska",1995,26399,0,0,1,0
"80",19.4,"Alaska",1994,25713,0,0,1,0
"81",20.4,"Alaska",1993,25036,0,0,0,1
"82",20.9,"Alaska",1992,24240,0,0,0,1
"83",21.6,"Alaska",1991,23510,0,0,0,1
"84",23.2,"Alaska",1990,23213,0,0,0,1
"85",22.9,"Alaska",1989,22133,0,0,0,1
"86",24.3,"Alaska",1988,20420,0,0,0,1
"87",22.3,"Alaska",1987,19688,0,0,0,1
"88",23.3,"Alaska",1986,20331,0,0,0,1
"89",25,"Alaska",1985,20593,0,0,0,1
"90",24.2,"Alaska",1984,19701,0,0,0,1
"91",24.9,"Alaska",1983,19478,0,0,0,1
"92",29.3,"Alaska",1982,19424,0,0,0,1
"93",33.7,"Alaska",1981,17091,0,0,0,1
"94",29.7,"Alaska",1980,15507,0,0,0,1
"95",30.7,"Alaska",1979,13745,0,0,0,1
"96",30.4,"Alaska",1978,13018,0,0,0,1
"97",30.6,"Alaska",1977,12789,0,0,0,0
"98",34.3,"Alaska",1976,12447,0,0,0,0
"99",34.5,"Alaska",1975,11205,0,0,0,0
"100",34.5,"Alaska",1974,8827,0,0,0,0
"101",33.6,"Alaska",1973,7525,0,0,0,0
"102",33.7,"Alaska",1972,6636,0,0,0,0
"103",33.5,"Alaska",1971,6269,0,0,0,0
"104",33.2,"Alaska",1970,5911,0,0,0,0
"105",37.5,"Alaska",1969,5322,0,0,0,0
"106",41.8,"Alaska",1968,4790,0,0,0,0
"107",39.5,"Alaska",1967,4545,0,0,0,0
"108",37.3,"Alaska",1966,4276,0,0,0,0
"109",38.5,"Alaska",1965,4016,0,0,0,0
"110",39.7,"Alaska",1964,3835,0,0,0,0
"111",5.4,"Arizona",2018,45299,1,0,1,0
"112",4,"Arizona",2017,43301,1,0,1,0
"113",4.5,"Arizona",2016,41473,1,0,1,0
"114",5.2,"Arizona",2015,40334,1,0,1,0
"115",5.3,"Arizona",2014,38756,1,0,1,0
"116",5,"Arizona",2013,37139,1,0,1,0
"117",5.2,"Arizona",2012,36545,1,0,1,0
"118",6,"Arizona",2011,35321,1,0,1,0
"119",6.4,"Arizona",2010,33876,1,0,1,0
"120",6.6,"Arizona",2009,33524,1,0,1,0
"121",8.8,"Arizona",2008,35748,1,0,1,0
"122",8.8,"Arizona",2007,35872,1,0,1,0
"123",7.7,"Arizona",2006,34703,1,0,1,0
"124",6.1,"Arizona",2005,32327,1,0,1,0
"125",6.3,"Arizona",2004,30221,1,0,1,0
"126",5.2,"Arizona",2003,28393,1,0,1,0
"127",5.7,"Arizona",2002,27353,1,0,1,0
"128",6.1,"Arizona",2001,27008,1,0,0,1
"129",6.6,"Arizona",2000,26388,1,0,0,1
"130",6.9,"Arizona",1999,24960,1,0,1,0
"131",6.5,"Arizona",1998,24173,1,0,1,0
"132",7.1,"Arizona",1997,22804,1,0,1,0
"133",5.9,"Arizona",1996,21737,1,0,1,0
"134",8.2,"Arizona",1995,20753,1,0,1,0
"135",8.1,"Arizona",1994,19869,1,0,1,0
"136",7.4,"Arizona",1993,18950,1,0,1,0
"137",7.4,"Arizona",1992,18309,1,0,1,0
"138",7.8,"Arizona",1991,17731,1,0,1,0
"139",7.9,"Arizona",1990,17323,1,0,1,0
"140",7.4,"Arizona",1989,16803,1,0,1,0
"141",7,"Arizona",1988,16044,1,0,1,0
"142",6.2,"Arizona",1987,15280,1,0,1,0
"143",8.3,"Arizona",1986,14733,1,0,1,0
"144",9.5,"Arizona",1985,14000,1,0,1,0
"145",9.2,"Arizona",1984,13060,1,0,1,0
"146",11.6,"Arizona",1983,11941,1,0,1,0
"147",11.2,"Arizona",1982,11141,1,0,1,0
"148",10.8,"Arizona",1981,10764,1,0,1,0
"149",16.1,"Arizona",1980,9671,1,0,1,0
"150",14.4,"Arizona",1979,8712,1,0,1,0
"151",14.7,"Arizona",1978,7768,1,0,1,0
"152",15.6,"Arizona",1977,6858,1,0,0,0
"153",13.7,"Arizona",1976,6309,1,0,0,0
"154",12.2,"Arizona",1975,5825,1,0,0,0
"155",14.5,"Arizona",1974,5546,1,0,0,0
"156",16.1,"Arizona",1973,5145,1,0,0,0
"157",15.7,"Arizona",1972,4711,1,0,0,0
"158",16.2,"Arizona",1971,4354,1,0,0,0
"159",16.7,"Arizona",1970,4020,1,0,0,0
"160",17.3,"Arizona",1969,3643,1,0,0,0
"161",17.9,"Arizona",1968,3233,1,0,0,0
"162",17.4,"Arizona",1967,2879,1,0,0,0
"163",16.9,"Arizona",1966,2701,1,0,0,0
"164",17.3,"Arizona",1965,2528,1,0,0,0
"165",17.6,"Arizona",1964,2427,1,0,0,0
"166",4.9,"Arkansas",2018,43661,1,0,1,0
"167",5.1,"Arkansas",2017,42056,1,0,1,0
"168",4,"Arkansas",2016,40873,1,0,1,0
"169",5.2,"Arkansas",2015,39968,1,0,1,0
"170",4.8,"Arkansas",2014,38749,1,0,1,0
"171",3.6,"Arkansas",2013,36677,1,1,0,0
"172",3.2,"Arkansas",2012,36582,1,1,0,0
"173",4.3,"Arkansas",2011,34279,1,1,0,0
"174",4.1,"Arkansas",2010,32372,1,1,0,0
"175",4.3,"Arkansas",2009,31472,1,1,0,0
"176",6,"Arkansas",2008,32306,1,1,0,0
"177",5.4,"Arkansas",2007,31303,1,1,0,0
"178",5.2,"Arkansas",2006,29617,1,1,0,0
"179",4.8,"Arkansas",2005,28227,1,1,0,0
"180",4.9,"Arkansas",2004,27059,1,1,0,0
"181",4.9,"Arkansas",2003,25595,1,1,0,0
"182",6.1,"Arkansas",2002,24306,1,1,0,0
"183",6.4,"Arkansas",2001,23873,1,1,0,0
"184",5.9,"Arkansas",2000,22781,1,1,0,0
"185",7.6,"Arkansas",1999,21871,1,1,0,0
"186",6.2,"Arkansas",1998,21208,1,1,0,0
"187",6,"Arkansas",1997,20187,1,1,0,0
"188",7.2,"Arkansas",1996,19458,1,1,0,0
"189",7.9,"Arkansas",1995,18602,1,1,0,0
"190",8.1,"Arkansas",1994,17758,1,1,0,0
"191",8.4,"Arkansas",1993,16956,1,1,0,0
"192",8.8,"Arkansas",1992,16438,1,1,0,0
"193",10.4,"Arkansas",1991,15299,1,1,0,0
"194",10.5,"Arkansas",1990,14622,1,1,0,0
"195",10.1,"Arkansas",1989,13946,1,1,0,0
"196",9.9,"Arkansas",1988,13022,1,1,0,0
"197",11.3,"Arkansas",1987,12139,1,1,0,0
"198",10,"Arkansas",1986,11708,1,1,0,0
"199",11.5,"Arkansas",1985,11165,1,1,0,0
"200",10,"Arkansas",1984,10543,1,1,0,0
"201",11.6,"Arkansas",1983,9513,1,1,0,0
"202",9.8,"Arkansas",1982,9024,1,1,0,0
"203",8,"Arkansas",1981,8592,1,1,0,0
"204",11.7,"Arkansas",1980,7597,1,1,0,0
"205",13.7,"Arkansas",1979,7090,1,1,0,0
"206",13.1,"Arkansas",1978,6546,1,1,0,0
"207",14.1,"Arkansas",1977,5736,1,0,0,0
"208",14.8,"Arkansas",1976,5247,1,0,0,0
"209",14.4,"Arkansas",1975,4769,1,0,0,0
"210",13.8,"Arkansas",1974,4453,1,0,0,0
"211",16.4,"Arkansas",1973,4069,1,0,0,0
"212",14.5,"Arkansas",1972,3504,1,0,0,0
"213",15.1,"Arkansas",1971,3176,1,0,0,0
"214",15.7,"Arkansas",1970,2915,1,0,0,0
"215",16.2,"Arkansas",1969,2681,1,0,0,0
"216",16.7,"Arkansas",1968,2419,1,0,0,0
"217",16,"Arkansas",1967,2238,1,0,0,0
"218",15.3,"Arkansas",1966,2109,1,0,0,0
"219",15.1,"Arkansas",1965,1902,1,0,0,0
"220",15,"Arkansas",1964,1799,1,0,0,0
"221",14.9,"California",2018,61509,0,1,0,0
"222",15.7,"California",2017,58813,0,1,0,0
"223",16.1,"California",2016,56560,0,1,0,0
"224",16.1,"California",2015,54546,0,1,0,0
"225",16.6,"California",2014,51266,0,1,0,0
"226",16.7,"California",2013,48502,0,1,0,0
"227",17.4,"California",2012,48121,0,1,0,0
"228",17.4,"California",2011,45557,0,1,0,0
"229",17.8,"California",2010,43246,0,1,0,0
"230",17.4,"California",2009,41689,0,1,0,0
"231",18.6,"California",2008,43567,0,1,0,0
"232",16.9,"California",2007,43385,0,1,0,0
"233",15.8,"California",2006,41746,0,1,0,0
"234",16.7,"California",2005,38932,0,1,0,0
"235",16.7,"California",2004,37070,0,1,0,0
"236",17.1,"California",2003,35272,0,1,0,0
"237",18.2,"California",2002,34131,0,1,0,0
"238",16.8,"California",2001,34046,0,1,0,0
"239",16.4,"California",2000,33410,0,1,0,0
"240",16.9,"California",1999,30773,0,1,0,0
"241",16.5,"California",1998,29092,0,1,0,0
"242",16.4,"California",1997,27171,0,1,0,0
"243",16.9,"California",1996,25912,0,1,0,0
"244",18.1,"California",1995,24629,0,1,0,0
"245",18.3,"California",1994,23581,0,1,0,0
"246",18.5,"California",1993,23013,0,1,0,0
"247",18.6,"California",1992,22678,0,1,0,0
"248",18.7,"California",1991,21857,0,1,0,0
"249",18.8,"California",1990,21485,0,1,0,0
"250",19.4,"California",1989,20561,0,1,0,0
"251",18.8,"California",1988,19605,0,1,0,0
"252",19.8,"California",1987,18482,0,1,0,0
"253",20.3,"California",1986,17588,0,1,0,0
"254",20.7,"California",1985,16795,0,1,0,0
"255",21.6,"California",1984,15895,0,1,0,0
"256",22.3,"California",1983,14582,0,1,0,0
"257",22.6,"California",1982,13793,0,1,0,0
"258",22.8,"California",1981,13158,0,1,0,0
"259",24.4,"California",1980,11945,0,1,0,0
"260",26,"California",1979,10758,0,1,0,0
"261",26.2,"California",1978,9661,0,1,0,0
"262",25.7,"California",1977,8681,0,0,0,0
"263",22.7,"California",1976,7975,0,0,0,0
"264",24.6,"California",1975,7320,0,0,0,0
"265",28.5,"California",1974,6731,0,0,0,0
"266",26.9,"California",1973,6123,0,0,0,0
"267",28.6,"California",1972,5652,0,0,0,0
"268",29.5,"California",1971,5209,0,0,0,0
"269",30.5,"California",1970,4965,0,0,0,0
"270",31,"California",1969,4676,0,0,0,0
"271",31.6,"California",1968,4334,0,0,0,0
"272",31.5,"California",1967,4001,0,0,0,0
"273",31.5,"California",1966,3784,0,0,0,0
"274",32.2,"California",1965,3531,0,0,0,0
"275",33,"California",1964,3383,0,0,0,0
"276",11.1,"Colorado",2018,58471,0,1,0,0
"277",9.6,"Colorado",2017,55294,0,1,0,0
"278",9.9,"Colorado",2016,52390,0,1,0,0
"279",8.5,"Colorado",2015,52339,0,1,0,0
"280",9.5,"Colorado",2014,50797,0,1,0,0
"281",7.5,"Colorado",2013,47404,0,0,0,1
"282",7.9,"Colorado",2012,45630,0,0,0,1
"283",8.2,"Colorado",2011,43658,0,1,0,0
"284",6.6,"Colorado",2010,40790,0,1,0,0
"285",7.1,"Colorado",2009,40093,0,1,0,0
"286",8.1,"Colorado",2008,42953,0,1,0,0
"287",8.7,"Colorado",2007,42074,0,1,0,0
"288",7.7,"Colorado",2006,40137,0,1,0,0
"289",8.3,"Colorado",2005,37797,0,1,0,0
"290",8.5,"Colorado",2004,35819,0,1,0,0
"291",7.8,"Colorado",2003,34856,0,0,1,0
"292",7.9,"Colorado",2002,34438,0,0,1,0
"293",9.2,"Colorado",2001,34897,0,0,0,1
"294",9.1,"Colorado",2000,34029,0,0,0,1
"295",9.5,"Colorado",1999,31305,0,0,1,0
"296",9.2,"Colorado",1998,29901,0,0,1,0
"297",9.7,"Colorado",1997,27675,0,0,1,0
"298",9.9,"Colorado",1996,26336,0,0,1,0
"299",10,"Colorado",1995,24995,0,0,1,0
"300",11,"Colorado",1994,23625,0,0,1,0
"301",9.9,"Colorado",1993,22639,0,0,1,0
"302",10.2,"Colorado",1992,21625,0,0,1,0
"303",9.9,"Colorado",1991,20549,0,0,1,0
"304",10.7,"Colorado",1990,19853,0,0,1,0
"305",9.3,"Colorado",1989,18930,0,0,1,0
"306",10.6,"Colorado",1988,17643,0,0,1,0
"307",11.6,"Colorado",1987,16685,0,0,1,0
"308",12.6,"Colorado",1986,16200,0,0,1,0
"309",11.9,"Colorado",1985,15733,0,0,1,0
"310",13.1,"Colorado",1984,15030,0,0,1,0
"311",13.8,"Colorado",1983,13944,0,0,1,0
"312",14.1,"Colorado",1982,13230,0,0,1,0
"313",14.4,"Colorado",1981,12386,0,0,1,0
"314",15.2,"Colorado",1980,11019,0,0,1,0
"315",17.8,"Colorado",1979,9820,0,0,1,0
"316",17.3,"Colorado",1978,8824,0,0,1,0
"317",14.9,"Colorado",1977,7854,0,0,0,0
"318",15.4,"Colorado",1976,7211,0,0,0,0
"319",13.7,"Colorado",1975,6670,0,0,0,0
"320",16.3,"Colorado",1974,6142,0,0,0,0
"321",18.1,"Colorado",1973,5579,0,0,0,0
"322",17.2,"Colorado",1972,5064,0,0,0,0
"323",18.4,"Colorado",1971,4671,0,0,0,0
"324",19.5,"Colorado",1970,4290,0,0,0,0
"325",20.2,"Colorado",1969,3896,0,0,0,0
"326",20.8,"Colorado",1968,3539,0,0,0,0
"327",21,"Colorado",1967,3294,0,0,0,0
"328",21.1,"Colorado",1966,3127,0,0,0,0
"329",21.2,"Colorado",1965,2942,0,0,0,0
"330",21.2,"Colorado",1964,2779,0,0,0,0
"331",16,"Connecticut",2018,73176,0,1,0,0
"332",17,"Connecticut",2017,70163,0,1,0,0
"333",17.6,"Connecticut",2016,68680,0,1,0,0
"334",17,"Connecticut",2015,67321,0,1,0,0
"335",14.8,"Connecticut",2014,65498,0,1,0,0
"336",13.5,"Connecticut",2013,62647,0,1,0,0
"337",14.1,"Connecticut",2012,64121,0,1,0,0
"338",16.8,"Connecticut",2011,63132,0,1,0,0
"339",16.7,"Connecticut",2010,61743,0,1,0,0
"340",17.3,"Connecticut",2009,59684,0,1,0,0
"341",17,"Connecticut",2008,60970,0,1,0,0
"342",15.7,"Connecticut",2007,57684,0,1,0,0
"343",15.6,"Connecticut",2006,53696,0,1,0,0
"344",16,"Connecticut",2005,49738,0,1,0,0
"345",15.3,"Connecticut",2004,47238,0,1,0,0
"346",15.4,"Connecticut",2003,44997,0,1,0,0
"347",17,"Connecticut",2002,44697,0,1,0,0
"348",15.1,"Connecticut",2001,45153,0,1,0,0
"349",16.4,"Connecticut",2000,43070,0,1,0,0
"350",18.3,"Connecticut",1999,39700,0,1,0,0
