"","UR","State","year"
"1",10.6,"A",2018
"2",10.8,"A",2017
"3",10.8,"A",2016
"4",11.1,"A",2015
"5",11.2,"A",2014
"6",11.3,"A",2013
"7",11.3,"A",2012
"8",11.9,"A",2011
"9",12,"A",2010
"10",12.4,"A",2009
"11",12.5,"A",2008
"12",12.2,"A",2007
"13",12.1,"A",2006
"14",12.5,"A",2005
"15",12.6,"A",2004
"16",13,"A",2003
"17",13.5,"A",2002
"18",13.7,"A",2001
"19",13.6,"A",2000
"20",14,"A",1999
"21",14.1,"A",1998
"22",14.2,"A",1997
"23",14.7,"A",1996
"24",15.1,"A",1995
"25",15.7,"A",1994
"26",16,"A",1993
"27",16,"A",1992
"28",16.3,"A",1991
"29",16.3,"A",1990
"30",16.6,"A",1989
"31",17,"A",1988
"32",17.3,"A",1987
"33",17.7,"A",1986
"34",18.2,"A",1985
"35",19.1,"A",1984
"36",20.3,"A",1983
"37",21,"A",1982
"38",21.7,"A",1981
"39",23.3,"A",1980
"40",24.4,"A",1979
"41",23.4,"A",1978
"42",24.1,"A",1977
"43",24.5,"A",1976
"44",24.6,"A",1975
"45",26.2,"A",1974
"46",26.6,"A",1973
"47",26.6,"A",1972
"48",27.2,"A",1971
"49",27.8,"A",1970
"50",28,"A",1969
"51",28.2,"A",1968
"52",28.3,"A",1967
"53",28.4,"A",1966
"54",28.9,"A",1965
"55",29.3,"A",1964
"56",9.3,"Alabama",2018
"57",7.4,"Alabama",2017
"58",8.2,"Alabama",2016
"59",10.3,"Alabama",2015
"60",10.8,"Alabama",2014
"61",10.8,"Alabama",2013
"62",9.3,"Alabama",2012
"63",10,"Alabama",2011
"64",10.2,"Alabama",2010
"65",10.9,"Alabama",2009
"66",9.8,"Alabama",2008
"67",9.6,"Alabama",2007
"68",8.8,"Alabama",2006
"69",10.2,"Alabama",2005
"70",9.8,"Alabama",2004
"71",8.1,"Alabama",2003
"72",9.1,"Alabama",2002
"73",10,"Alabama",2001
"74",9.8,"Alabama",2000
"75",11,"Alabama",1999
"76",9.8,"Alabama",1998
"77",10.3,"Alabama",1997
"78",11.6,"Alabama",1996
"79",13.8,"Alabama",1995
"80",14.2,"Alabama",1994
"81",14.9,"Alabama",1993
"82",14,"Alabama",1992
"83",13.5,"Alabama",1991
"84",12.5,"Alabama",1990
"85",14,"Alabama",1989
"86",14.4,"Alabama",1988
"87",14.1,"Alabama",1987
"88",15.9,"Alabama",1986
"89",15.9,"Alabama",1985
"90",15.2,"Alabama",1984
"91",17.1,"Alabama",1983
"92",17.7,"Alabama",1982
"93",18.4,"Alabama",1981
"94",19.5,"Alabama",1980
"95",24,"Alabama",1979
"96",21.6,"Alabama",1978
"97",18.7,"Alabama",1977
"98",19.9,"Alabama",1976
"99",20.7,"Alabama",1975
"100",23.1,"Alabama",1974
"101",23.3,"Alabama",1973
"102",21.4,"Alabama",1972
"103",22.1,"Alabama",1971
"104",22.8,"Alabama",1970
"105",22.6,"Alabama",1969
"106",22.4,"Alabama",1968
"107",22,"Alabama",1967
"108",21.5,"Alabama",1966
"109",21.3,"Alabama",1965
"110",21.1,"Alabama",1964
"111",18.4,"Alaska",2018
"112",18,"Alaska",2017
"113",18.5,"Alaska",2016
"114",19.7,"Alaska",2015
"115",22.7,"Alaska",2014
"116",23,"Alaska",2013
"117",22.5,"Alaska",2012
"118",22.2,"Alaska",2011
"119",23.2,"Alaska",2010
"120",22.4,"Alaska",2009
"121",23.7,"Alaska",2008
"122",23.9,"Alaska",2007
"123",22.4,"Alaska",2006
